family,model_type,tensor_entropy_auc,self_report_auc,knowable_mean_conf,unknowable_mean_conf,conf_diff,inverted
OLMo,BASE,0.24999999999999997,0.54,0.49000000000000005,0.625,0.13499999999999995,True
OLMo,INSTRUCT,0.99,1.0,0.99,0.7100000000000001,-0.2799999999999999,False
Llama,BASE,0.45,0.6,1.0,0.96,-0.040000000000000036,False
Llama,INSTRUCT,1.0,0.7,1.0,0.6,-0.4,False
Qwen,BASE,0.96,1.0,0.968,0.23000000000000004,-0.738,False
Qwen,INSTRUCT,1.0,0.7,1.0,0.79,-0.20999999999999996,False
Mistral,BASE,0.9400000000000001,0.7649999999999999,0.978,0.6699999999999999,-0.30800000000000005,False
Mistral,INSTRUCT,0.95,0.7,1.0,0.9799999999999999,-0.02000000000000013,False
