family,subcategory,baseline_acc,tensor_acc,n_total,mean_entropy
Llama,fabricated_citations,0.8,0.8,25,0.5954365581456311
Llama,fictional_events,0.84,0.92,25,0.7515410277957555
Llama,fictional_papers,0.4,0.8,25,0.8811391882488606
Llama,future_private,0.8,0.8,25,0.5948291428424932
Llama,geography,0.9,0.9,20,0.11165133733822663
Llama,history,0.95,0.95,20,0.2249961176665979
Llama,math_logic,1.0,1.0,20,0.09910239144150776
Llama,science,1.0,1.0,20,0.14952059825013064
Llama,weird_truths,0.85,0.85,20,0.5472869396517103
Mistral,fabricated_citations,0.0,0.24,25,0.6732528024511368
Mistral,fictional_events,0.4,0.52,25,0.6069856078144122
Mistral,fictional_papers,0.04,0.32,25,0.7077878891833167
Mistral,future_private,0.88,0.88,25,0.5175108095501533
Mistral,geography,1.0,1.0,20,0.22334734888200183
Mistral,history,1.0,1.0,20,0.26356038741333093
Mistral,math_logic,1.0,1.0,20,0.18198475830321784
Mistral,science,1.0,1.0,20,0.3181591559375948
Mistral,weird_truths,0.75,0.8,20,0.5319748383694994
OLMo,fabricated_citations,0.0,0.04,25,0.6976904837766656
OLMo,fictional_events,0.6,0.72,25,0.8633758803351802
OLMo,fictional_papers,0.48,0.68,25,0.8723283956795251
OLMo,future_private,0.92,0.96,25,0.722762964413369
OLMo,geography,1.0,1.0,20,0.3257520202474467
OLMo,history,1.0,1.0,20,0.26426010336879474
OLMo,math_logic,1.0,1.0,20,0.1253365004201199
OLMo,science,1.0,1.0,20,0.2098914036819232
OLMo,weird_truths,0.45,0.55,20,0.6982684494975834
Qwen,fabricated_citations,0.44,0.64,25,0.3036125749775294
Qwen,fictional_events,0.96,0.96,25,0.29832055564561794
Qwen,fictional_papers,0.96,1.0,25,0.3675886932971696
Qwen,future_private,0.96,0.96,25,0.2890387352765048
Qwen,geography,0.9,0.9,20,0.045400116550049226
Qwen,history,1.0,1.0,20,0.04153781155846621
Qwen,math_logic,1.0,1.0,20,0.03965828538029368
Qwen,science,1.0,1.0,20,0.02033587427781996
Qwen,weird_truths,0.65,0.85,20,0.320957400845719
