analysis,signal_or_combo,metric,value
correlation,mean_logprob_vs_max_entropy,pearson_r,-0.8739003065166234
correlation,mean_logprob_vs_entropy_std,pearson_r,-0.9359623032102805
correlation,mean_logprob_vs_mean_logprob,pearson_r,1.0
correlation,mean_logprob_vs_mean_top5_mass,pearson_r,0.8978466534074935
correlation,mean_top5_mass_vs_mean_entropy,pearson_r,-0.9275993725406417
correlation,mean_top5_mass_vs_max_entropy,pearson_r,-0.8455782798216543
correlation,mean_top5_mass_vs_entropy_std,pearson_r,-0.8870387725499014
correlation,mean_top5_mass_vs_mean_logprob,pearson_r,0.8978466534074935
correlation,mean_top5_mass_vs_mean_top5_mass,pearson_r,1.0
lr_coefficients,max_entropy,standardized_coef,-1.39927165784807
lr_coefficients,mean_top5_mass,standardized_coef,-0.9888321605647551
lr_coefficients,entropy_std,standardized_coef,-0.7703813068581965
lr_coefficients,mean_logprob,standardized_coef,0.5479064978566908
lr_coefficients,mean_entropy,standardized_coef,-0.381547677854349
