condition,subcategory,type,n_total,baseline_acc,corrected_acc,improvement,n_verified,false_positives,false_negatives,fp_rate,fn_rate,mean_entropy,entropy_std
Text (orig),fabricated_citations,unknowable,100,0.31,0.31,0.0,0,0,69,0.0,0.69,0.5674981048377409,0.19361832985967278
Text (orig),fictional_events,unknowable,100,0.7,0.7,0.0,3,3,30,1.0,0.30927835051546393,0.6300557678977414,0.26554394868262027
Text (orig),fictional_papers,unknowable,100,0.47,0.5,0.030000000000000027,25,22,50,0.88,0.6666666666666666,0.707211041602218,0.27773831951668715
Text (orig),future_private,unknowable,100,0.89,0.89,0.0,46,46,11,1.0,0.2037037037037037,0.53103541302063,0.20363247787680258
Text (orig),geography,knowable,80,0.95,0.95,0.0,5,5,4,1.0,0.05333333333333334,0.17653770575443112,0.15701065818980822
Text (orig),history,knowable,80,0.9875,0.9875,0.0,0,0,1,0.0,0.0125,0.19858860500179745,0.18068546371609018
Text (orig),math_logic,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.1115204838862848,0.10303718643763171
Text (orig),science,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.17447675803686713,0.16881208176607515
Text (orig),weird_truths,knowable,80,0.675,0.6875,0.012499999999999956,1,0,25,0.0,0.31645569620253167,0.524621907091128,0.2332058486797511
Text (fixed),fabricated_citations,unknowable,100,0.31,0.31,0.0,7,7,69,1.0,0.7419354838709677,0.5674981048377409,0.19361832985967278
Text (fixed),fictional_events,unknowable,100,0.7,0.72,0.020000000000000018,32,30,28,0.9375,0.4117647058823529,0.6300557678977414,0.26554394868262027
Text (fixed),fictional_papers,unknowable,100,0.47,0.47,0.0,13,13,53,1.0,0.6091954022988506,0.707211041602218,0.27773831951668715
Text (fixed),future_private,unknowable,100,0.89,0.9,0.010000000000000009,26,25,10,0.9615384615384616,0.13513513513513514,0.53103541302063,0.20363247787680258
Text (fixed),geography,knowable,80,0.95,0.95,0.0,1,1,4,1.0,0.05063291139240506,0.17653770575443112,0.15701065818980822
Text (fixed),history,knowable,80,0.9875,0.9875,0.0,0,0,1,0.0,0.0125,0.19858860500179745,0.18068546371609018
Text (fixed),math_logic,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.1115204838862848,0.10303718643763171
Text (fixed),science,knowable,80,1.0,1.0,0.0,1,1,0,1.0,0.0,0.17447675803686713,0.16881208176607515
Text (fixed),weird_truths,knowable,80,0.675,0.675,0.0,0,0,26,0.0,0.325,0.524621907091128,0.2332058486797511
Tensor,fabricated_citations,unknowable,100,0.31,0.37,0.06,6,0,63,0.0,0.6702127659574468,0.5674981048377409,0.19361832985967278
Tensor,fictional_events,unknowable,100,0.7,0.84,0.14,24,10,16,0.4166666666666667,0.21052631578947367,0.6300557678977414,0.26554394868262027
Tensor,fictional_papers,unknowable,100,0.47,0.72,0.25,32,7,28,0.21875,0.4117647058823529,0.707211041602218,0.27773831951668715
Tensor,future_private,unknowable,100,0.89,0.9,0.010000000000000009,9,8,10,0.8888888888888888,0.10989010989010989,0.53103541302063,0.20363247787680258
Tensor,geography,knowable,80,0.95,0.95,0.0,0,0,4,0.0,0.05,0.17653770575443112,0.15701065818980822
Tensor,history,knowable,80,0.9875,0.9875,0.0,1,1,1,1.0,0.012658227848101266,0.19858860500179745,0.18068546371609018
Tensor,math_logic,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.1115204838862848,0.10303718643763171
Tensor,science,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.17447675803686713,0.16881208176607515
Tensor,weird_truths,knowable,80,0.675,0.7375,0.0625,8,3,21,0.375,0.2916666666666667,0.524621907091128,0.2332058486797511
Composed,fabricated_citations,unknowable,100,0.31,0.65,0.34,57,23,35,0.40350877192982454,0.813953488372093,0.5674981048377409,0.19361832985967278
Composed,fictional_events,unknowable,100,0.7,0.74,0.040000000000000036,7,3,26,0.42857142857142855,0.27956989247311825,0.6300557678977414,0.26554394868262027
Composed,fictional_papers,unknowable,100,0.47,0.59,0.12,15,3,41,0.2,0.4823529411764706,0.707211041602218,0.27773831951668715
Composed,future_private,unknowable,100,0.89,0.89,0.0,0,0,11,0.0,0.11,0.53103541302063,0.20363247787680258
Composed,geography,knowable,80,0.95,0.95,0.0,0,0,4,0.0,0.05,0.17653770575443112,0.15701065818980822
Composed,history,knowable,80,0.9875,0.9875,0.0,0,0,1,0.0,0.0125,0.19858860500179745,0.18068546371609018
Composed,math_logic,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.1115204838862848,0.10303718643763171
Composed,science,knowable,80,1.0,1.0,0.0,0,0,0,0.0,0.0,0.17447675803686713,0.16881208176607515
Composed,weird_truths,knowable,80,0.675,0.675,0.0,1,1,26,1.0,0.3291139240506329,0.524621907091128,0.2332058486797511
