subset,family,signal,budget,baseline_acc,delivered_acc,lift,n_delivered,n_flagged,n_incorrect_flagged,precision_on_flagged,auc_value
All queries,Qwen,mean_entropy,0.3,0.79,0.8642857142857143,0.07428571428571429,140,60,23,0.38333333333333336,0.8956000000000001
All queries,Qwen,semantic_entropy,0.1,0.79,0.8277777777777777,0.03777777777777769,180,20,11,0.55,0.9104
All queries,Qwen,semantic_entropy,0.2,0.79,0.85,0.05999999999999994,160,40,18,0.45,0.9104
All queries,Qwen,semantic_entropy,0.3,0.79,0.8642857142857143,0.07428571428571429,140,60,23,0.38333333333333336,0.9104
All queries,Qwen,spike_entropy,0.1,0.79,0.8222222222222222,0.03222222222222215,180,20,10,0.5,0.9001
All queries,Qwen,spike_entropy,0.2,0.79,0.85625,0.06624999999999992,160,40,19,0.475,0.9001
All queries,Qwen,spike_entropy,0.3,0.79,0.8714285714285714,0.0814285714285714,140,60,24,0.4,0.9001
Citation only,Llama,mean_entropy,0.1,0.8611111111111112,0.90625,0.04513888888888884,32,4,2,0.5,0.5588235294117647
Citation only,Llama,mean_entropy,0.2,0.8611111111111112,0.9285714285714286,0.06746031746031744,28,8,3,0.375,0.5588235294117647
Citation only,Llama,mean_entropy,0.3,0.8611111111111112,0.92,0.05888888888888888,25,11,3,0.2727272727272727,0.5588235294117647
Citation only,Llama,semantic_entropy,0.1,0.8611111111111112,0.90625,0.04513888888888884,32,4,2,0.5,0.6470588235294118
Citation only,Llama,semantic_entropy,0.2,0.8611111111111112,0.8928571428571429,0.031746031746031744,28,8,2,0.25,0.6470588235294118
Citation only,Llama,semantic_entropy,0.3,0.8611111111111112,0.88,0.018888888888888844,25,11,2,0.18181818181818182,0.6470588235294118
Citation only,Llama,spike_entropy,0.1,0.8611111111111112,0.90625,0.04513888888888884,32,4,2,0.5,0.6911764705882353
Citation only,Llama,spike_entropy,0.2,0.8611111111111112,0.9285714285714286,0.06746031746031744,28,8,3,0.375,0.6911764705882353
Citation only,Llama,spike_entropy,0.3,0.8611111111111112,0.96,0.0988888888888888,25,11,4,0.36363636363636365,0.6911764705882353
Citation only,Mistral,mean_entropy,0.1,0.1111111111111111,0.125,0.013888888888888895,32,4,4,1.0,0.6764705882352942
Citation only,Mistral,mean_entropy,0.2,0.1111111111111111,0.14285714285714285,0.031746031746031744,28,8,8,1.0,0.6764705882352942
Citation only,Mistral,mean_entropy,0.3,0.1111111111111111,0.16,0.0488888888888889,25,11,11,1.0,0.6764705882352942
Citation only,Mistral,semantic_entropy,0.1,0.1111111111111111,0.125,0.013888888888888895,32,4,4,1.0,0.7941176470588235
Citation only,Mistral,semantic_entropy,0.2,0.1111111111111111,0.14285714285714285,0.031746031746031744,28,8,8,1.0,0.7941176470588235
Citation only,Mistral,semantic_entropy,0.3,0.1111111111111111,0.16,0.0488888888888889,25,11,11,1.0,0.7941176470588235
Citation only,Mistral,spike_entropy,0.1,0.1111111111111111,0.125,0.013888888888888895,32,4,4,1.0,0.7352941176470589
Citation only,Mistral,spike_entropy,0.2,0.1111111111111111,0.14285714285714285,0.031746031746031744,28,8,8,1.0,0.7352941176470589
Citation only,Mistral,spike_entropy,0.3,0.1111111111111111,0.16,0.0488888888888889,25,11,11,1.0,0.7352941176470589
Citation only,OLMo,mean_entropy,0.1,0.16666666666666666,0.15625,-0.010416666666666657,32,4,3,0.75,0.6176470588235294
Citation only,OLMo,mean_entropy,0.2,0.16666666666666666,0.14285714285714285,-0.023809523809523808,28,8,6,0.75,0.6176470588235294
Citation only,OLMo,mean_entropy,0.3,0.16666666666666666,0.16,-0.006666666666666654,25,11,9,0.8181818181818182,0.6176470588235294
Citation only,OLMo,semantic_entropy,0.1,0.16666666666666666,0.1875,0.020833333333333343,32,4,4,1.0,0.36764705882352944
Citation only,OLMo,semantic_entropy,0.2,0.16666666666666666,0.21428571428571427,0.047619047619047616,28,8,8,1.0,0.36764705882352944
Citation only,OLMo,semantic_entropy,0.3,0.16666666666666666,0.16,-0.006666666666666654,25,11,9,0.8181818181818182,0.36764705882352944
Citation only,OLMo,spike_entropy,0.1,0.16666666666666666,0.15625,-0.010416666666666657,32,4,3,0.75,0.6029411764705882
Citation only,OLMo,spike_entropy,0.2,0.16666666666666666,0.17857142857142858,0.011904761904761918,28,8,7,0.875,0.6029411764705882
Citation only,OLMo,spike_entropy,0.3,0.16666666666666666,0.2,0.033333333333333354,25,11,10,0.9090909090909091,0.6029411764705882
Citation only,Qwen,mean_entropy,0.1,0.6388888888888888,0.6875,0.04861111111111116,32,4,3,0.75,1.0
Citation only,Qwen,mean_entropy,0.2,0.6388888888888888,0.75,0.11111111111111116,28,8,6,0.75,1.0
Citation only,Qwen,mean_entropy,0.3,0.6388888888888888,0.84,0.20111111111111113,25,11,9,0.8181818181818182,1.0
Citation only,Qwen,semantic_entropy,0.1,0.6388888888888888,0.71875,0.07986111111111116,32,4,4,1.0,1.0
Citation only,Qwen,semantic_entropy,0.2,0.6388888888888888,0.75,0.11111111111111116,28,8,6,0.75,1.0
Citation only,Qwen,semantic_entropy,0.3,0.6388888888888888,0.8,0.1611111111111112,25,11,8,0.7272727272727273,1.0
Citation only,Qwen,spike_entropy,0.1,0.6388888888888888,0.6875,0.04861111111111116,32,4,3,0.75,1.0
Citation only,Qwen,spike_entropy,0.2,0.6388888888888888,0.75,0.11111111111111116,28,8,6,0.75,1.0
Citation only,Qwen,spike_entropy,0.3,0.6388888888888888,0.84,0.20111111111111113,25,11,9,0.8181818181818182,1.0
Non-citation only,Llama,mean_entropy,0.1,0.7621951219512195,0.7959183673469388,0.03372324539571925,147,17,9,0.5294117647058824,0.9410946196660482
Non-citation only,Llama,mean_entropy,0.2,0.7621951219512195,0.8320610687022901,0.0698659467510706,131,33,17,0.5151515151515151,0.9410946196660482
Non-citation only,Llama,mean_entropy,0.3,0.7621951219512195,0.868421052631579,0.10622593068035946,114,50,24,0.48,0.9410946196660482
Non-citation only,Llama,semantic_entropy,0.1,0.7621951219512195,0.7959183673469388,0.03372324539571925,147,17,9,0.5294117647058824,0.9376932591218305
Non-citation only,Llama,semantic_entropy,0.2,0.7621951219512195,0.816793893129771,0.0545987711785515,131,33,15,0.45454545454545453,0.9376932591218305
Non-citation only,Llama,semantic_entropy,0.3,0.7621951219512195,0.8771929824561403,0.11499786050492078,114,50,25,0.5,0.9376932591218305
Non-citation only,Llama,spike_entropy,0.1,0.7621951219512195,0.8027210884353742,0.04052596648415463,147,17,10,0.5882352941176471,0.9418676561533704
Non-citation only,Llama,spike_entropy,0.2,0.7621951219512195,0.8244274809160306,0.06223235896481105,131,33,16,0.48484848484848486,0.9418676561533704
Non-citation only,Llama,spike_entropy,0.3,0.7621951219512195,0.868421052631579,0.10622593068035946,114,50,24,0.48,0.9418676561533704
Non-citation only,Mistral,mean_entropy,0.1,0.6707317073170732,0.7414965986394558,0.07076489132238262,147,17,16,0.9411764705882353,0.8962585034013606
Non-citation only,Mistral,mean_entropy,0.2,0.6707317073170732,0.7633587786259542,0.09262707130888104,131,33,23,0.696969696969697,0.8962585034013606
Non-citation only,Mistral,mean_entropy,0.3,0.6707317073170732,0.7807017543859649,0.10997004706889169,114,50,29,0.58,0.8962585034013606
Non-citation only,Mistral,semantic_entropy,0.1,0.6707317073170732,0.7074829931972789,0.03675128588020571,147,17,11,0.6470588235294118,0.9072356215213359
Non-citation only,Mistral,semantic_entropy,0.2,0.6707317073170732,0.7557251908396947,0.08499348352262148,131,33,22,0.6666666666666666,0.9072356215213359
Non-citation only,Mistral,semantic_entropy,0.3,0.6707317073170732,0.7894736842105263,0.11874197689345312,114,50,30,0.6,0.9072356215213359
Non-citation only,Mistral,spike_entropy,0.1,0.6707317073170732,0.7414965986394558,0.07076489132238262,147,17,16,0.9411764705882353,0.897804576376005
Non-citation only,Mistral,spike_entropy,0.2,0.6707317073170732,0.7786259541984732,0.10789424688140004,131,33,25,0.7575757575757576,0.897804576376005
Non-citation only,Mistral,spike_entropy,0.3,0.6707317073170732,0.8070175438596491,0.13628583654257587,114,50,32,0.64,0.897804576376005
Non-citation only,OLMo,mean_entropy,0.1,0.6646341463414634,0.7142857142857143,0.04965156794425085,147,17,13,0.7647058823529411,0.9097093382807668
Non-citation only,OLMo,mean_entropy,0.2,0.6646341463414634,0.7633587786259542,0.0987246322844908,131,33,24,0.7272727272727273,0.9097093382807668
Non-citation only,OLMo,mean_entropy,0.3,0.6646341463414634,0.7894736842105263,0.12483953786906288,114,50,31,0.62,0.9097093382807668
Non-citation only,OLMo,semantic_entropy,0.1,0.6646341463414634,0.7074829931972789,0.04284884685581547,147,17,12,0.7058823529411765,0.9299628942486086
Non-citation only,OLMo,semantic_entropy,0.2,0.6646341463414634,0.7404580152671756,0.07582386892571213,131,33,21,0.6363636363636364,0.9299628942486086
Non-citation only,OLMo,semantic_entropy,0.3,0.6646341463414634,0.7807017543859649,0.11606760804450145,114,50,30,0.6,0.9299628942486086
Non-citation only,OLMo,spike_entropy,0.1,0.6646341463414634,0.7074829931972789,0.04284884685581547,147,17,12,0.7058823529411765,0.9148113790970933
Non-citation only,OLMo,spike_entropy,0.2,0.6646341463414634,0.7633587786259542,0.0987246322844908,131,33,24,0.7272727272727273,0.9148113790970933
Non-citation only,OLMo,spike_entropy,0.3,0.6646341463414634,0.7894736842105263,0.12483953786906288,114,50,31,0.62,0.9148113790970933
Non-citation only,Qwen,mean_entropy,0.1,0.823170731707317,0.8435374149659864,0.020366683258669416,147,17,6,0.35294117647058826,0.8942486085343229
Non-citation only,Qwen,mean_entropy,0.2,0.823170731707317,0.8625954198473282,0.03942468814001121,131,33,11,0.3333333333333333,0.8942486085343229
Non-citation only,Qwen,mean_entropy,0.3,0.823170731707317,0.8508771929824561,0.027706461275139094,114,50,12,0.24,0.8942486085343229
Non-citation only,Qwen,semantic_entropy,0.1,0.823170731707317,0.8435374149659864,0.020366683258669416,147,17,6,0.35294117647058826,0.9055349412492268
Non-citation only,Qwen,semantic_entropy,0.2,0.823170731707317,0.8549618320610687,0.031791100353751656,131,33,10,0.30303030303030304,0.9055349412492268
Non-citation only,Qwen,semantic_entropy,0.3,0.823170731707317,0.8508771929824561,0.027706461275139094,114,50,12,0.24,0.9055349412492268
Non-citation only,Qwen,spike_entropy,0.1,0.823170731707317,0.8435374149659864,0.020366683258669416,147,17,6,0.35294117647058826,0.8968769325912183
Non-citation only,Qwen,spike_entropy,0.2,0.823170731707317,0.8625954198473282,0.03942468814001121,131,33,11,0.3333333333333333,0.8968769325912183
Non-citation only,Qwen,spike_entropy,0.3,0.823170731707317,0.8508771929824561,0.027706461275139094,114,50,12,0.24,0.8968769325912183
