subset,family,signal,budget,baseline_acc,delivered_acc,lift,n_delivered,n_flagged,n_incorrect_flagged,precision_on_flagged,auc_value
All queries,Llama,mean_entropy,0.1,0.78,0.8166666666666667,0.036666666666666625,180,20,11,0.55,0.9222
All queries,Llama,mean_entropy,0.2,0.78,0.84375,0.06374999999999997,160,40,19,0.475,0.9222
All queries,Llama,mean_entropy,0.3,0.78,0.8785714285714286,0.09857142857142853,140,60,27,0.45,0.9222
All queries,Llama,semantic_entropy,0.1,0.78,0.8222222222222222,0.04222222222222216,180,20,12,0.6,0.9171
All queries,Llama,semantic_entropy,0.2,0.78,0.8375,0.057499999999999996,160,40,18,0.45,0.9171
All queries,Llama,semantic_entropy,0.3,0.78,0.8714285714285714,0.09142857142857141,140,60,26,0.43333333333333335,0.9171
All queries,Llama,spike_entropy,0.1,0.78,0.8222222222222222,0.04222222222222216,180,20,12,0.6,0.9288
All queries,Llama,spike_entropy,0.2,0.78,0.84375,0.06374999999999997,160,40,19,0.475,0.9288
All queries,Llama,spike_entropy,0.3,0.78,0.8785714285714286,0.09857142857142853,140,60,27,0.45,0.9288
All queries,Mistral,mean_entropy,0.1,0.57,0.6277777777777778,0.05777777777777782,180,20,19,0.95,0.9052
All queries,Mistral,mean_entropy,0.2,0.57,0.6875,0.11750000000000005,160,40,36,0.9,0.9052
All queries,Mistral,mean_entropy,0.3,0.57,0.7214285714285714,0.15142857142857147,140,60,47,0.7833333333333333,0.9052
All queries,Mistral,semantic_entropy,0.1,0.57,0.6222222222222222,0.05222222222222228,180,20,18,0.9,0.9207
All queries,Mistral,semantic_entropy,0.2,0.57,0.66875,0.09875,160,40,33,0.825,0.9207
All queries,Mistral,semantic_entropy,0.3,0.57,0.7357142857142858,0.16571428571428581,140,60,49,0.8166666666666667,0.9207
All queries,Mistral,spike_entropy,0.1,0.57,0.6333333333333333,0.06333333333333335,180,20,20,1.0,0.9113
All queries,Mistral,spike_entropy,0.2,0.57,0.7,0.13,160,40,38,0.95,0.9113
All queries,Mistral,spike_entropy,0.3,0.57,0.7428571428571429,0.17285714285714293,140,60,50,0.8333333333333334,0.9113
All queries,OLMo,mean_entropy,0.1,0.575,0.6166666666666667,0.04166666666666674,180,20,16,0.8,0.8941999999999999
All queries,OLMo,mean_entropy,0.2,0.575,0.65,0.07500000000000007,160,40,29,0.725,0.8941999999999999
All queries,OLMo,mean_entropy,0.3,0.575,0.6857142857142857,0.11071428571428577,140,60,41,0.6833333333333333,0.8941999999999999
All queries,OLMo,semantic_entropy,0.1,0.575,0.6111111111111112,0.036111111111111205,180,20,15,0.75,0.9172
All queries,OLMo,semantic_entropy,0.2,0.575,0.64375,0.06875000000000009,160,40,28,0.7,0.9172
All queries,OLMo,semantic_entropy,0.3,0.575,0.6857142857142857,0.11071428571428577,140,60,41,0.6833333333333333,0.9172
All queries,OLMo,spike_entropy,0.1,0.575,0.6055555555555555,0.030555555555555558,180,20,14,0.7,0.8996999999999999
All queries,OLMo,spike_entropy,0.2,0.575,0.65,0.07500000000000007,160,40,29,0.725,0.8996999999999999
All queries,OLMo,spike_entropy,0.3,0.575,0.6857142857142857,0.11071428571428577,140,60,41,0.6833333333333333,0.8996999999999999
All queries,Qwen,mean_entropy,0.1,0.79,0.8222222222222222,0.03222222222222215,180,20,10,0.5,0.8956000000000001
All queries,Qwen,mean_entropy,0.2,0.79,0.8625,0.07250000000000001,160,40,20,0.5,0.8956000000000001
